thisN,thisTrialN,thisRepN,pic_name,class_mi,key_resp.keys,key_resp.rt,key_resp.duration,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,MI.stopped,run_break.started,text_run_break.started,key_resp.started,run_break.stopped,run.key_resp.keys,run.key_resp.rt,run.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,False,0.006267299992032349,0.014192700036801398,0.014192700036801398,0.2695118000265211,space,0.24993030005134642,None,,,,,,,,,,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
0,0,0,pics/right_hand.JPG, right_hand,,,,0,0,0,0,0,0,0,3,3.279272999963723,,,,,,,,,,0.26977150002494454,0.2745979999890551,3.279272999963723,3.2584637999534607,3.265062000020407,3.279272999963723,3.279272999963723,3.279272999963723,9.929466300061904,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
1,1,0,pics/none.JPG,rest,,,,0,0,0,0,0,1,1,2,9.936950300005265,,,,,,,,,,,,,,9.93079100002069,9.936950300005265,9.936950300005265,9.936950300005265,16.588240599958226,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
2,2,1,pics/right_hand.JPG, right_hand,,,,0,0,0,0,1,2,2,3,16.595438400050625,,,,,,,,,,,,,,16.5896417000331,16.595438400050625,16.595438400050625,16.595438400050625,23.300823000026867,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
3,3,1,pics/none.JPG,rest,,,,0,0,0,0,1,3,3,2,23.30846059997566,,,,,,,,,,,,,,23.3021106000524,23.30846059997566,23.30846059997566,23.30846059997566,29.959379800013267,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
4,4,2,pics/right_hand.JPG, right_hand,,,,0,0,0,0,2,4,4,3,29.96687370003201,,,,,,,,,,,,,,29.96065759996418,29.96687370003201,29.96687370003201,29.96687370003201,36.618143400060944,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
5,5,0,pics/left_hand.JPG,left_hand,,,,0,0,0,0,0,5,5,0,36.62529120000545,,,,,,,,,,,,,,36.61943229997996,36.62529120000545,36.62529120000545,36.62529120000545,43.27655189996585,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
6,6,3,pics/right_hand.JPG, right_hand,,,,0,0,0,0,3,6,6,3,43.28405799996108,,,,,,,,,,,,,,43.277849100064486,43.28405799996108,43.28405799996108,43.28405799996108,49.93496400001459,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
7,7,2,pics/none.JPG,rest,,,,0,0,0,0,2,7,7,2,49.942301200004295,,,,,,,,,,,,,,49.936209699953906,49.942301200004295,49.942301200004295,49.942301200004295,56.59314730006736,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
8,8,3,pics/none.JPG,rest,,,,0,0,0,0,3,8,8,2,56.601473100017756,,,,,,,,,,,,,,56.59439810004551,56.601473100017756,56.601473100017756,56.601473100017756,63.25197159999516,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
9,9,4,pics/right_hand.JPG, right_hand,,,,0,0,0,0,4,9,9,3,63.25927340006456,,,,,,,,,,,,,,63.25327930005733,63.25927340006456,63.25927340006456,63.25927340006456,69.91022800002247,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
10,10,0,pics/feet.JPG,feet,,,,0,0,0,0,0,10,10,1,69.91892259998713,,,,,,,,,,,,,,69.91255919996183,69.91892259998713,69.91892259998713,69.91892259998713,76.57026209996548,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
11,11,5,pics/right_hand.JPG, right_hand,,,,0,0,0,0,5,11,11,3,76.57769840001129,,,,,,,,,,,,,,76.57157470006496,76.57769840001129,76.57769840001129,76.57769840001129,83.22879980003927,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
12,12,4,pics/none.JPG,rest,,,,0,0,0,0,4,12,12,2,83.23633340001106,,,,,,,,,,,,,,83.23011230002157,83.23633340001106,83.23633340001106,83.23633340001106,89.88746490003541,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
13,13,1,pics/left_hand.JPG,left_hand,,,,0,0,0,0,1,13,13,0,89.89484159997664,,,,,,,,,,,,,,89.8888301999541,89.89484159997664,89.89484159997664,89.89484159997664,96.54565360001288,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
14,14,1,pics/feet.JPG,feet,,,,0,0,0,0,1,14,14,1,96.55363009998109,,,,,,,,,,,,,,96.54761530004907,96.55363009998109,96.55363009998109,96.55363009998109,103.20453009998892,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
15,15,2,pics/left_hand.JPG,left_hand,,,,0,0,0,0,2,15,15,0,103.21209519996773,,,,,,,,,,,,,,103.20579539996106,103.21209519996773,103.21209519996773,103.21209519996773,109.86356860003434,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
16,16,3,pics/left_hand.JPG,left_hand,,,,0,0,0,0,3,16,16,0,109.87126819998957,,,,,,,,,,,,,,109.86507120006718,109.87126819998957,109.87126819998957,109.87126819998957,116.52249889995437,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
17,17,2,pics/feet.JPG,feet,,,,0,0,0,0,2,17,17,1,116.53116370004136,,,,,,,,,,,,,,116.5247283000499,116.53116370004136,116.53116370004136,116.53116370004136,123.18211140006315,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
18,18,3,pics/feet.JPG,feet,,,,0,0,0,0,3,18,18,1,123.19061419996433,,,,,,,,,,,,,,123.1842081999639,123.19061419996433,123.19061419996433,123.19061419996433,129.84536479995586,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
19,19,6,pics/right_hand.JPG, right_hand,,,,0,0,0,0,6,19,19,3,129.8535745999543,,,,,,,,,,,,,,129.84680860000663,129.8535745999543,129.8535745999543,129.8535745999543,136.50635340006556,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
20,20,7,pics/right_hand.JPG, right_hand,,,,0,0,0,0,7,20,20,3,136.5137813000474,,,,,,,,,,,,,,136.5076287999982,136.5137813000474,136.5137813000474,136.5137813000474,143.1772286000196,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
21,21,5,pics/none.JPG,rest,,,,0,0,0,0,5,21,21,2,143.1853761000093,,,,,,,,,,,,,,143.17843480000738,143.1853761000093,143.1853761000093,143.1853761000093,149.86910869996063,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
22,22,4,pics/feet.JPG,feet,,,,0,0,0,0,4,22,22,1,149.8769177000504,,,,,,,,,,,,,,149.87106849998236,149.8769177000504,149.8769177000504,149.8769177000504,156.5280920000514,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
23,23,4,pics/left_hand.JPG,left_hand,,,,0,0,0,0,4,23,23,0,156.5353837000439,,,,,,,,,,,,,,156.52935730002355,156.5353837000439,156.5353837000439,156.5353837000439,163.1861311000539,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
24,24,5,pics/left_hand.JPG,left_hand,,,,0,0,0,0,5,24,24,0,163.19389370002318,,,,,,,,,,,,,,163.18738909997046,163.19389370002318,163.19389370002318,163.19389370002318,169.8449303000234,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
25,25,6,pics/left_hand.JPG,left_hand,,,,0,0,0,0,6,25,25,0,169.85230010002851,,,,,,,,,,,,,,169.84609839995392,169.85230010002851,169.85230010002851,169.85230010002851,176.5038708000211,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
26,26,5,pics/feet.JPG,feet,,,,0,0,0,0,5,26,26,1,176.5120894999709,,,,,,,,,,,,,,176.5057912999764,176.5120894999709,176.5120894999709,176.5120894999709,183.16313120000996,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
27,27,7,pics/left_hand.JPG,left_hand,,,,0,0,0,0,7,27,27,0,183.17051820002962,,,,,,,,,,,,,,183.16446780005936,183.17051820002962,183.17051820002962,183.17051820002962,189.82195500005037,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
28,28,6,pics/none.JPG,rest,,,,0,0,0,0,6,28,28,2,189.82980119995773,,,,,,,,,,,,,,189.8233356999699,189.82980119995773,189.82980119995773,189.82980119995773,196.4806249999674,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
29,29,7,pics/none.JPG,rest,,,,0,0,0,0,7,29,29,2,196.48808829998598,,,,,,,,,,,,,,196.48185260000173,196.48808829998598,196.48808829998598,196.48808829998598,203.1392754999688,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
30,30,6,pics/feet.JPG,feet,,,,0,0,0,0,6,30,30,1,203.14697949995752,,,,,,,,,,,,,,203.141150200041,203.14697949995752,203.14697949995752,203.14697949995752,209.79815869999584,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
31,31,7,pics/feet.JPG,feet,,,,0,0,0,0,7,31,31,1,209.8057681999635,,,,,,,,,,,,,,209.80007140000816,209.8057681999635,209.8057681999635,209.8057681999635,216.46114869997837,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
32,32,8,pics/feet.JPG,feet,,,,0,0,0,0,8,32,32,1,216.4690033000661,,,,,,,,,,,,,,216.46313920000102,216.4690033000661,216.4690033000661,216.4690033000661,223.1202587999869,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
33,33,8,pics/none.JPG,rest,,,,0,0,0,0,8,33,33,2,223.12752920005005,,,,,,,,,,,,,,223.12147520005237,223.12752920005005,223.12752920005005,223.12752920005005,229.7794877999695,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
34,34,8,pics/right_hand.JPG, right_hand,,,,0,0,0,0,8,34,34,3,229.78687429998536,,,,,,,,,,,,,,229.7808831000002,229.78687429998536,229.78687429998536,229.78687429998536,236.43823570001405,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
35,35,8,pics/left_hand.JPG,left_hand,,,,0,0,0,0,8,35,35,0,236.44537079997826,,,,,,,,,,,,,,236.43949290004093,236.44537079997826,236.44537079997826,236.44537079997826,243.09803180000745,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
36,36,9,pics/right_hand.JPG, right_hand,,,,0,0,0,0,9,36,36,3,243.10545949998777,,,,,,,,,,,,,,243.09933250001632,243.10545949998777,243.10545949998777,243.10545949998777,249.75613989995327,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
37,37,9,pics/feet.JPG,feet,,,,0,0,0,0,9,37,37,1,249.76409009995405,,,,,,,,,,,,,,249.75809500005562,249.76409009995405,249.76409009995405,249.76409009995405,256.4149278999539,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
38,38,9,pics/none.JPG,rest,,,,0,0,0,0,9,38,38,2,256.42237499996554,,,,,,,,,,,,,,256.41627270006575,256.42237499996554,256.42237499996554,256.42237499996554,263.07387560000643,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
39,39,9,pics/left_hand.JPG,left_hand,,,,0,0,0,0,9,39,39,0,263.0813883000519,,,,,,,,,,,,,,263.0751992999576,263.0813883000519,263.0813883000519,263.0813883000519,269.7324658000143,,,,,,,,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
0,0,0,,,space,17.325055600027554,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,269.7344131000573,269.73959779995494,269.73959779995494,287.066080300021,space,17.325055600027554,None,118740,001,2026-06-23_13h19.24.345,bci_circle,,2026.1.1,119.90493936608814,2026-06-23 13h19.24.413775 +0200,
0,0,0,pics/feet.JPG,feet,,,,1,0,1,0,0,0,0,1,290.06924280000385,,,,,,,,,,287.06619350006804,287.07389680005144,290.06924280000385,290.05802340002265,290.06333400006406,290.06924280000385,290.06924280000385,290.06924280000385,,,,,,,,,,,,,,,,,
