thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.003289099993708078,0.008195499998691957,0.008195499998691957,1.583551299998362,space,1.564818999999261,None,,,,,,,,,,,,,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
0,0,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,0,0,0,4.585028899993631,,,,,,,,,,1.5838741999978083,1.5884064999991097,4.585028899993631,4.572267699993972,4.579435599996941,4.585028899993631,4.585028899993631,4.585028899993631,6.5794477999952505,6.5794477999952505,6.5794477999952505,6.571559599993634,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
1,1,0,pics/none.JPG,rest,0,0,0,0,0,1,1,2,6.5794477999952505,,,,,,,,,,,,,,6.571674999999232,6.5794477999952505,6.5794477999952505,6.5794477999952505,8.571342699993693,8.571342699993693,8.571342699993693,8.563500999996904,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
2,2,1,pics/none.JPG,rest,0,0,0,0,1,2,2,2,8.571342699993693,,,,,,,,,,,,,,8.563647399998445,8.571342699993693,8.571342699993693,8.571342699993693,10.563222499993572,10.563222499993572,10.563222499993572,10.555973799993808,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
3,3,2,pics/none.JPG,rest,0,0,0,0,2,3,3,2,10.563222499993572,,,,,,,,,,,,,,10.556146899994928,10.563222499993572,10.563222499993572,10.563222499993572,12.55503889999818,12.55503889999818,12.55503889999818,12.54729159999988,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
4,4,3,pics/none.JPG,rest,0,0,0,0,3,4,4,2,12.55503889999818,,,,,,,,,,,,,,12.547414799999387,12.55503889999818,12.55503889999818,12.55503889999818,14.546390299998166,14.546390299998166,14.546390299998166,14.538870399999723,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
5,5,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,5,5,0,14.546390299998166,,,,,,,,,,,,,,14.539036799993482,14.546390299998166,14.546390299998166,14.546390299998166,16.537743699998828,16.537743699998828,16.537743699998828,16.53142399999342,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
6,6,4,pics/none.JPG,rest,0,0,0,0,4,6,6,2,16.537743699998828,,,,,,,,,,,,,,16.531575599998177,16.537743699998828,16.537743699998828,16.537743699998828,18.52979939999932,18.52979939999932,18.52979939999932,18.52200779999839,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
7,7,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,7,7,0,18.52979939999932,,,,,,,,,,,,,,18.522137599997222,18.52979939999932,18.52979939999932,18.52979939999932,20.521502299998247,20.521502299998247,20.521502299998247,20.513722699994105,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
8,8,5,pics/none.JPG,rest,0,0,0,0,5,8,8,2,20.521502299998247,,,,,,,,,,,,,,20.51387160000013,20.521502299998247,20.521502299998247,20.521502299998247,22.514296199995442,22.514296199995442,22.514296199995442,22.505533299998206,177898,001,2026-06-16_16h03.14.799,bci_racingteam,,2026.1.1,119.0170146728607,2026-06-16 16h03.14.936937 +0200,
