thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,point_left.started,point_right.started,dot_precue.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,point_left.stopped,point_right.stopped,dot_precue.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.005196099999011494,0.011283899999398272,0.011283899999398272,0.3999335999978939,space,0.37505570000212174,None,,,,,,,,,,,,,,,,,,,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
0,0,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,0,0,0,3.4182739999960177,,,,,,,,,,0.40044009999837726,0.4082376000005752,3.4182739999960177,3.3926233999955,3.404653400000825,3.4182739999960177,3.4182739999960177,3.4182739999960177,3.4182739999960177,3.4182739999960177,3.4182739999960177,5.410785000000033,5.410785000000033,5.410785000000033,5.410785000000033,5.410785000000033,5.410785000000033,5.403654199995799,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
1,1,0,pics/none.JPG,rest,0,0,0,0,0,1,1,2,5.410785000000033,,,,,,,,,,,,,,5.404045499999484,5.410785000000033,5.410785000000033,5.410785000000033,5.410785000000033,5.410785000000033,5.410785000000033,7.409345899999607,7.409345899999607,7.409345899999607,7.409345899999607,7.409345899999607,7.409345899999607,7.401036499999464,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
2,2,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,2,2,0,7.409345899999607,,,,,,,,,,,,,,7.401232899996103,7.409345899999607,7.409345899999607,7.409345899999607,7.409345899999607,7.409345899999607,7.409345899999607,9.409266599999683,9.409266599999683,9.409266599999683,9.409266599999683,9.409266599999683,9.409266599999683,9.401666199999454,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
3,3,1,pics/none.JPG,rest,0,0,0,0,1,3,3,2,9.409266599999683,,,,,,,,,,,,,,9.401918499999738,9.409266599999683,9.409266599999683,9.409266599999683,9.409266599999683,9.409266599999683,9.409266599999683,11.401198899999144,11.401198899999144,11.401198899999144,11.401198899999144,11.401198899999144,11.401198899999144,11.39448309999716,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
4,4,0,pics/feet.JPG,feet,0,0,0,0,0,4,4,1,11.401198899999144,,,,,,,,,,,,,,11.394680999997945,11.401198899999144,11.401198899999144,11.401198899999144,11.401198899999144,11.401198899999144,11.401198899999144,13.401777599996421,13.401777599996421,13.401777599996421,13.401777599996421,13.401777599996421,13.401777599996421,13.393875899993873,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
5,5,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,5,5,0,13.401777599996421,,,,,,,,,,,,,,13.394144099998812,13.401777599996421,13.401777599996421,13.401777599996421,13.401777599996421,13.401777599996421,13.401777599996421,15.400967900000978,15.400967900000978,15.400967900000978,15.400967900000978,15.400967900000978,15.400967900000978,15.393413300000248,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
6,6,3,pics/left_hand.JPG,left_hand,0,0,0,0,3,6,6,0,15.400967900000978,,,,,,,,,,,,,,15.393603699994856,15.400967900000978,15.400967900000978,15.400967900000978,15.400967900000978,15.400967900000978,15.400967900000978,17.39318629999616,17.39318629999616,17.39318629999616,17.39318629999616,17.39318629999616,17.39318629999616,17.386065200000303,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
7,7,2,pics/none.JPG,rest,0,0,0,0,2,7,7,2,17.39318629999616,,,,,,,,,,,,,,17.386294399999315,17.39318629999616,17.39318629999616,17.39318629999616,17.39318629999616,17.39318629999616,17.39318629999616,19.385402100000647,19.385402100000647,19.385402100000647,19.385402100000647,19.385402100000647,19.385402100000647,19.37764829999651,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
8,8,1,pics/feet.JPG,feet,0,0,0,0,1,8,8,1,19.385402100000647,,,,,,,,,,,,,,19.377867099996365,19.385402100000647,19.385402100000647,19.385402100000647,19.385402100000647,19.385402100000647,19.385402100000647,21.37854949999746,21.37854949999746,21.37854949999746,21.37854949999746,21.37854949999746,21.37854949999746,21.371430999999575,218690,001,2026-06-16_16h35.46.693,bci_racingteam,,2026.1.1,122.19755190179713,2026-06-16 16h35.46.970767 +0200,
