thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_2.started,text_2.stopped,wait_screen.stopped,pre_cue.started,hor_line_precue.started,ver_line_precue.started,rot_line_precue.started,point_left.started,point_right.started,hor_line_precue.stopped,ver_line_precue.stopped,rot_line_precue.stopped,point_left.stopped,point_right.stopped,pre_cue.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.0032635000025038607,0.008350800002517644,0.008350800002517644,0.24757180000597145,space,0.23423290000209818,None,,,,,,,,,,,,,,,,,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
0,0,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,0,0,0,3.2557735000009416,,,,,,,,,,0.24792690000322182,0.2528734000006807,3.2557735000009416,3.2432721000004676,3.250138600000355,3.2557735000009416,3.2557735000009416,3.2557735000009416,3.2557735000009416,3.2557735000009416,5.251811100002669,5.251811100002669,5.251811100002669,5.251811100002669,5.251811100002669,5.244335800001863,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
1,1,0,pics/none.JPG,rest,0,0,0,0,0,1,1,2,5.251811100002669,,,,,,,,,,,,,,5.244491100005689,5.251811100002669,5.251811100002669,5.251811100002669,5.251811100002669,5.251811100002669,7.243350500000815,7.243350500000815,7.243350500000815,7.243350500000815,7.243350500000815,7.236944100004621,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
2,2,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,2,2,0,7.243350500000815,,,,,,,,,,,,,,7.237114100003964,7.243350500000815,7.243350500000815,7.243350500000815,7.243350500000815,7.243350500000815,9.234956100001,9.234956100001,9.234956100001,9.234956100001,9.234956100001,9.227149199999985,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
3,3,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,3,3,0,9.234956100001,,,,,,,,,,,,,,9.227274100005161,9.234956100001,9.234956100001,9.234956100001,9.234956100001,9.234956100001,11.226334800005134,11.226334800005134,11.226334800005134,11.226334800005134,11.226334800005134,11.218661099999736,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
4,4,0,pics/feet.JPG,feet,0,0,0,0,0,4,4,1,11.226334800005134,,,,,,,,,,,,,,11.218796400004067,11.226334800005134,11.226334800005134,11.226334800005134,11.226334800005134,11.226334800005134,13.218058800004655,13.218058800004655,13.218058800004655,13.218058800004655,13.218058800004655,13.211067700001877,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
5,5,1,pics/none.JPG,rest,0,0,0,0,1,5,5,2,13.218058800004655,,,,,,,,,,,,,,13.211224099999527,13.218058800004655,13.218058800004655,13.218058800004655,13.218058800004655,13.218058800004655,15.210052700000233,15.210052700000233,15.210052700000233,15.210052700000233,15.210052700000233,15.202653400003328,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
6,6,1,pics/feet.JPG,feet,0,0,0,0,1,6,6,1,15.210052700000233,,,,,,,,,,,,,,15.202770100004273,15.210052700000233,15.210052700000233,15.210052700000233,15.210052700000233,15.210052700000233,17.20181460000458,17.20181460000458,17.20181460000458,17.20181460000458,17.20181460000458,17.194347800003015,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
7,7,2,pics/none.JPG,rest,0,0,0,0,2,7,7,2,17.20181460000458,,,,,,,,,,,,,,17.194479900004808,17.20181460000458,17.20181460000458,17.20181460000458,17.20181460000458,17.20181460000458,19.19336640000256,19.19336640000256,19.19336640000256,19.19336640000256,19.19336640000256,19.185987299999397,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
8,8,2,pics/feet.JPG,feet,0,0,0,0,2,8,8,1,19.19336640000256,,,,,,,,,,,,,,19.186120000005758,19.19336640000256,19.19336640000256,19.19336640000256,19.19336640000256,19.19336640000256,21.186038600004395,21.186038600004395,21.186038600004395,21.186038600004395,21.186038600004395,21.17754010000499,469034,001,2026-06-16_16h14.26.731,bci_racingteam,,2026.1.1,119.54129613521935,2026-06-16 16h14.26.871906 +0200,
