thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,move_circle.stopped,mi_circle.stopped,image_mi.stopped,MI.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.004939500009641051,0.01852480001980439,0.01852480001980439,2.459419699967839,space,2.390103599987924,None,,,,,,,,,,,,,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
0,0,0,pics/right_hand.JPG, right_hand,0,0,0,0,0,0,0,3,5.513330799993128,,,,,,,,,,2.4608888999791816,2.4675077999709174,5.513330799993128,5.455360699968878,5.497924399969634,5.513330799993128,5.513330799993128,5.513330799993128,10.029117800004315,10.029117800004315,10.029117800004315,9.996326899970882,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
1,1,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,1,1,0,10.029117800004315,,,,,,,,,,,,,,10.01683579996461,10.029117800004315,10.029117800004315,10.029117800004315,14.541656100016553,14.541656100016553,14.541656100016553,14.519787599972915,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
2,2,0,pics/none.JPG,rest,0,0,0,0,0,2,2,2,14.541656100016553,,,,,,,,,,,,,,14.534557299979497,14.541656100016553,14.541656100016553,14.541656100016553,19.049815099977423,19.049815099977423,19.049815099977423,19.030398199975025,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
3,3,0,pics/feet.JPG,feet,0,0,0,0,0,3,3,1,19.049815099977423,,,,,,,,,,,,,,19.042118999990635,19.049815099977423,19.049815099977423,19.049815099977423,23.545293600007426,23.545293600007426,23.545293600007426,23.537696400017012,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
4,4,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,4,4,0,23.545293600007426,,,,,,,,,,,,,,23.539043299970217,23.545293600007426,23.545293600007426,23.545293600007426,28.03820499998983,28.03820499998983,28.03820499998983,28.029488699976355,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
5,5,1,pics/feet.JPG,feet,0,0,0,0,1,5,5,1,28.03820499998983,,,,,,,,,,,,,,28.03181559999939,28.03820499998983,28.03820499998983,28.03820499998983,32.5296665999922,32.5296665999922,32.5296665999922,32.521988399967086,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
6,6,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,6,6,0,32.5296665999922,,,,,,,,,,,,,,32.523245999997016,32.5296665999922,32.5296665999922,32.5296665999922,37.02148090000264,37.02148090000264,37.02148090000264,37.013750199985225,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
7,7,2,pics/feet.JPG,feet,0,0,0,0,2,7,7,1,37.02148090000264,,,,,,,,,,,,,,37.015670699998736,37.02148090000264,37.02148090000264,37.02148090000264,41.51432690001093,41.51432690001093,41.51432690001093,41.5060643000179,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
8,8,3,pics/feet.JPG,feet,0,0,0,0,3,8,8,1,41.51432690001093,,,,,,,,,,,,,,41.508155399991665,41.51432690001093,41.51432690001093,41.51432690001093,46.00681029999396,46.00681029999396,46.00681029999396,45.99896599998465,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
9,9,1,pics/none.JPG,rest,0,0,0,0,1,9,9,2,46.00681029999396,,,,,,,,,,,,,,46.000292900018394,46.00681029999396,46.00681029999396,46.00681029999396,50.49865399999544,50.49865399999544,50.49865399999544,50.49085289996583,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
10,10,4,pics/feet.JPG,feet,0,0,0,0,4,10,10,1,50.49865399999544,,,,,,,,,,,,,,50.49288059998071,50.49865399999544,50.49865399999544,50.49865399999544,54.990754499973264,54.990754499973264,54.990754499973264,54.98352289997274,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
11,11,1,pics/right_hand.JPG, right_hand,0,0,0,0,1,11,11,3,54.990754499973264,,,,,,,,,,,,,,54.98486630001571,54.990754499973264,54.990754499973264,54.990754499973264,59.48301339999307,59.48301339999307,59.48301339999307,59.47525349998614,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
12,12,2,pics/none.JPG,rest,0,0,0,0,2,12,12,2,59.48301339999307,,,,,,,,,,,,,,59.4765510999714,59.48301339999307,59.48301339999307,59.48301339999307,63.97466090001399,63.97466090001399,63.97466090001399,63.96716469997773,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
13,13,3,pics/none.JPG,rest,0,0,0,0,3,13,13,2,63.97466090001399,,,,,,,,,,,,,,63.9683719999739,63.97466090001399,63.97466090001399,63.97466090001399,68.46692430000985,68.46692430000985,68.46692430000985,68.45878019998781,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
14,14,3,pics/left_hand.JPG,left_hand,0,0,0,0,3,14,14,0,68.46692430000985,,,,,,,,,,,,,,68.46005369996419,68.46692430000985,68.46692430000985,68.46692430000985,72.95862589997705,72.95862589997705,72.95862589997705,72.95073380001122,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
15,15,4,pics/none.JPG,rest,0,0,0,0,4,15,15,2,72.95862589997705,,,,,,,,,,,,,,72.95199440000579,72.95862589997705,72.95862589997705,72.95862589997705,77.45099699997809,77.45099699997809,77.45099699997809,77.44310199999018,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
16,16,4,pics/left_hand.JPG,left_hand,0,0,0,0,4,16,16,0,77.45099699997809,,,,,,,,,,,,,,77.44443889998365,77.45099699997809,77.45099699997809,77.45099699997809,81.9430194000015,81.9430194000015,81.9430194000015,81.93491619999986,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
17,17,5,pics/left_hand.JPG,left_hand,0,0,0,0,5,17,17,0,81.9430194000015,,,,,,,,,,,,,,81.93617579998681,81.9430194000015,81.9430194000015,81.9430194000015,86.43440189998364,86.43440189998364,86.43440189998364,86.42693730001338,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
18,18,5,pics/none.JPG,rest,0,0,0,0,5,18,18,2,86.43440189998364,,,,,,,,,,,,,,86.4281803999911,86.43440189998364,86.43440189998364,86.43440189998364,90.92654869996477,90.92654869996477,90.92654869996477,90.9185681999661,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
19,19,5,pics/feet.JPG,feet,0,0,0,0,5,19,19,1,90.92654869996477,,,,,,,,,,,,,,90.92050700000254,90.92654869996477,90.92654869996477,90.92654869996477,95.41843139997218,95.41843139997218,95.41843139997218,95.41112589999102,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
20,20,2,pics/right_hand.JPG, right_hand,0,0,0,0,2,20,20,3,95.41843139997218,,,,,,,,,,,,,,95.41232890001265,95.41843139997218,95.41843139997218,95.41843139997218,99.91019799996866,99.91019799996866,99.91019799996866,99.9028994999826,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
21,21,6,pics/none.JPG,rest,0,0,0,0,6,21,21,2,99.91019799996866,,,,,,,,,,,,,,99.90410960000008,99.91019799996866,99.91019799996866,99.91019799996866,104.40408670000033,104.40408670000033,104.40408670000033,104.39479910000227,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
22,22,6,pics/feet.JPG,feet,0,0,0,0,6,22,22,1,104.40408670000033,,,,,,,,,,,,,,104.3972916000057,104.40408670000033,104.40408670000033,104.40408670000033,108.89539939997485,108.89539939997485,108.89539939997485,108.88797949999571,548782,001,2026-06-20_15h36.41.011,bci_circle,,2026.1.1,120.09501920367184,2026-06-20 15h36.41.220167 +0200,
23,23,3,pics/right_hand.JPG, right_hand,,,,,3,23,23,3,108.89539939997485,,,,,,,,,,,,,,108.88920919998782,108.89539939997485,108.89539939997485,108.89539939997485,,,,,,,,,,,,,
