thisN,thisTrialN,thisRepN,pic_name,class_mi,key_resp.keys,key_resp.rt,key_resp.duration,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,move_circle.stopped,mi_circle.stopped,image_mi.stopped,MI.stopped,run_break.started,text_run_break.started,key_resp.started,run_break.stopped,run.key_resp.keys,run.key_resp.rt,run.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,False,0.017117900017183274,0.03317650000099093,0.03317650000099093,0.41180980001809075,space,0.3090205999906175,None,,,,,,,,,,,,,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
0,0,0,pics/none.JPG,rest,,,,0,0,0,0,0,0,0,2,3.4262155999895185,,,,,,,,,,0.4120701000210829,0.4175521999713965,3.4262155999895185,3.4058696000138298,3.414947999990545,3.4262155999895185,3.4262155999895185,3.4262155999895185,7.920545500004664,7.920545500004664,7.920545500004664,7.911852799996268,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
1,1,0,pics/left_hand.JPG,left_hand,,,,0,0,0,0,0,1,1,0,7.920545500004664,,,,,,,,,,,,,,7.914626899990253,7.920545500004664,7.920545500004664,7.920545500004664,12.412196699995548,12.412196699995548,12.412196699995548,12.404726799984928,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
2,2,1,pics/none.JPG,rest,,,,0,0,0,0,1,2,2,2,12.412196699995548,,,,,,,,,,,,,,12.406032799975947,12.412196699995548,12.412196699995548,12.412196699995548,16.90384839999024,16.90384839999024,16.90384839999024,16.89657189999707,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
3,3,1,pics/left_hand.JPG,left_hand,,,,0,0,0,0,1,3,3,0,16.90384839999024,,,,,,,,,,,,,,16.897842400008813,16.90384839999024,16.90384839999024,16.90384839999024,21.399385299999267,21.399385299999267,21.399385299999267,21.39123569999356,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
4,4,2,pics/none.JPG,rest,,,,0,0,0,0,2,4,4,2,21.399385299999267,,,,,,,,,,,,,,21.39244600001257,21.399385299999267,21.399385299999267,21.399385299999267,25.890803000016604,25.890803000016604,25.890803000016604,25.88314829999581,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
5,5,2,pics/left_hand.JPG,left_hand,,,,0,0,0,0,2,5,5,0,25.890803000016604,,,,,,,,,,,,,,25.884504100016784,25.890803000016604,25.890803000016604,25.890803000016604,30.38244419998955,30.38244419998955,30.38244419998955,30.375100500008557,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
6,6,3,pics/left_hand.JPG,left_hand,,,,0,0,0,0,3,6,6,0,30.38244419998955,,,,,,,,,,,,,,30.37641079997411,30.38244419998955,30.38244419998955,30.38244419998955,34.87433319998672,34.87433319998672,34.87433319998672,34.86650150001515,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
7,7,4,pics/left_hand.JPG,left_hand,,,,0,0,0,0,4,7,7,0,34.87433319998672,,,,,,,,,,,,,,34.86776380002266,34.87433319998672,34.87433319998672,34.87433319998672,39.37824759999057,39.37824759999057,39.37824759999057,39.35827570001129,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
8,8,0,pics/right_hand.JPG, right_hand,,,,0,0,0,0,0,8,8,3,39.37824759999057,,,,,,,,,,,,,,39.37209590000566,39.37824759999057,39.37824759999057,39.37824759999057,43.873163699987344,43.873163699987344,43.873163699987344,43.86569810000947,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
9,9,3,pics/none.JPG,rest,,,,0,0,0,0,3,9,9,2,43.873163699987344,,,,,,,,,,,,,,43.86701109999558,43.873163699987344,43.873163699987344,43.873163699987344,48.36519229999976,48.36519229999976,48.36519229999976,48.35765050002374,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
10,10,4,pics/none.JPG,rest,,,,0,0,0,0,4,10,10,2,48.36519229999976,,,,,,,,,,,,,,48.35887310001999,48.36519229999976,48.36519229999976,48.36519229999976,52.85685069998726,52.85685069998726,52.85685069998726,52.84935889998451,,,,,,,,670083,001,2026-06-20_16h22.06.408,bci_circle,,2026.1.1,120.5483018329299,2026-06-20 16h22.06.610537 +0200,
