thisN,thisTrialN,thisRepN,pic_name,class_mi,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,thisRow.t,notes,piloting,pre_block.started,text_pre_block.started,key_resp_start.started,pre_block.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,wait_screen.started,text_wait_screen.started,text_wait_screen.stopped,wait_screen.stopped,MI.started,move_circle.started,mi_circle.started,image_mi.started,MI.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,False,0.01743120001628995,0.023933400050736964,0.023933400050736964,0.8313058000057936,space,0.788324199966155,None,,,,,,,,,,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
0,0,0,pics/feet.JPG,feet,0,0,0,0,0,0,0,1,3.860188700025901,,,,,,,,,,0.832349400036037,0.838370000012219,3.860188700025901,3.8269684000406414,3.844907799968496,3.860188700025901,3.860188700025901,3.860188700025901,10.520071899984032,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
1,1,1,pics/feet.JPG,feet,0,0,0,0,1,1,1,1,10.528169400058687,,,,,,,,,,,,,,10.522073499974795,10.528169400058687,10.528169400058687,10.528169400058687,17.178893800009973,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
2,2,0,pics/left_hand.JPG,left_hand,0,0,0,0,0,2,2,0,17.186594999977387,,,,,,,,,,,,,,17.18066109996289,17.186594999977387,17.186594999977387,17.186594999977387,23.906535899965093,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
3,3,0,pics/none.JPG,rest,0,0,0,0,0,3,3,2,23.914179100072943,,,,,,,,,,,,,,23.90812979999464,23.914179100072943,23.914179100072943,23.914179100072943,30.565024100011215,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
4,4,0,pics/right_hand.JPG, right_hand,0,0,0,0,0,4,4,3,30.585705199977383,,,,,,,,,,,,,,30.5726439000573,30.585705199977383,30.585705199977383,30.585705199977383,37.236050000065006,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
5,5,1,pics/left_hand.JPG,left_hand,0,0,0,0,1,5,5,0,37.24338150001131,,,,,,,,,,,,,,37.23732980003115,37.24338150001131,37.24338150001131,37.24338150001131,43.89466350001749,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
6,6,1,pics/right_hand.JPG, right_hand,0,0,0,0,1,6,6,3,43.90191050001886,,,,,,,,,,,,,,43.89598300005309,43.90191050001886,43.90191050001886,43.90191050001886,50.55299980007112,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
7,7,1,pics/none.JPG,rest,0,0,0,0,1,7,7,2,50.560305100050755,,,,,,,,,,,,,,50.554251400055364,50.560305100050755,50.560305100050755,50.560305100050755,57.21151930000633,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
8,8,2,pics/left_hand.JPG,left_hand,0,0,0,0,2,8,8,0,57.21876600000542,,,,,,,,,,,,,,57.21282720007002,57.21876600000542,57.21876600000542,57.21876600000542,63.86999539996032,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
9,9,2,pics/none.JPG,rest,0,0,0,0,2,9,9,2,63.877506499993615,,,,,,,,,,,,,,63.87123829999473,63.877506499993615,63.877506499993615,63.877506499993615,70.53363369998988,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
10,10,2,pics/right_hand.JPG, right_hand,0,0,0,0,2,10,10,3,70.54089830000885,,,,,,,,,,,,,,70.53490410000086,70.54089830000885,70.54089830000885,70.54089830000885,77.1921716000652,947526,001,2026-06-23_14h27.05.975,bci_circle,,2026.1.1,120.49412224354482,2026-06-23 14h27.06.123571 +0200,
